frase,polaridad
"odio este reclamos, es incompleto",0
"gusta este peticiones, es excelente",1
"disgusta este quejas, es ignorado",0
"horroroso este preguntas, es desagrada",0
"molesto este quejas, es frustante",0
"desastroso este peticiones, es poco",0
" encanta este reclamos, es estupendo",1
"horroroso este quejas, es incompleto",0
"agrada este quejas, es satisfecho",1
" complace este preguntas, es genial",1
"terrible este reclamos, es malo",0
"odio este peticiones, es problemas",0
"desastroso este quejas, es frustante",0
"agrada este preguntas, es contento",1
"agrada este reclamos, es asombroso",1
" sirve este preguntas, es fantastico",1
"horroroso este peticiones, es problemas",0
" complace este reclamos, es rapido",1
"horroroso este preguntas, es incompleto",0
"agrada este reclamos, es eficiente",1
"horroroso este peticiones, es frustante",0
" sirve este preguntas, es maravilloso",1
"malo este quejas, es descontento",0
"indigna este reclamos, es problemas",0
" satisface este preguntas, es contento",1
"disgusta este quejas, es decepcion",0
"indigna este reclamos, es problemas",0
" fascina este preguntas, es satisfecho",1
"horroroso este peticiones, es horrible",0
"horroroso este quejas, es horrible",0
"horrible este reclamos, es incompleto",0
"gusta este peticiones, es maravilloso",1
"malo este reclamos, es fallos",0
"indigna este quejas, es despreciable",0
" encanta este quejas, es estupendo",1
"gusta este preguntas, es maravilloso",1
"gustaria este reclamos, es eficiente",1
" cautiva este quejas, es estupendo",1
"terrible este reclamos, es descontento",0
"molesto este preguntas, es desagrada",0
"molesto este reclamos, es ignorado",0
"disgustaria este preguntas, es ineficiente",0
"disgusta este preguntas, es poco",0
"disgustaria este peticiones, es descontento",0
"malo este peticiones, es descontento",0
"fascinaria este preguntas, es excelente",1
"disgusta este preguntas, es incompleto",0
"malo este quejas, es descontento",0
"molesto este reclamos, es terrible",0
"gusta este preguntas, es genial",1
"indigna este peticiones, es ignorado",0
"horroroso este reclamos, es insatisfecho",0
"horroroso este quejas, es terrible",0
"desastroso este quejas, es desagrada",0
"horrible este preguntas, es malo",0
" sirve este quejas, es maravilla",1
"gusta este quejas, es increible",1
"disgusta este reclamos, es problemas",0
"malo este quejas, es desagrada",0
" fascina este preguntas, es maravilloso",1
"molesto este reclamos, es dificultades",0
"fascinaria este preguntas, es maravilloso",1
"encantaria este preguntas, es genial",1
" complace este preguntas, es satisfecho",1
"malo este quejas, es poco",0
"gusta este reclamos, es estupendo",1
"gustaria este reclamos, es bueno",1
"agradaria este peticiones, es satisfecho",1
"indigna este quejas, es descontento",0
" encanta este quejas, es fantastico",1
"fascinaria este preguntas, es agradable",1
"molesto este reclamos, es descontento",0
"odio este quejas, es problemas",0
"malo este preguntas, es despreciable",0
"gustaria este preguntas, es favor",1
"agrada este preguntas, es maravilla",1
"agradaria este quejas, es maravilloso",1
"molesto este preguntas, es desagrada",0
"agradaria este reclamos, es contento",1
"malo este preguntas, es insatisfecho",0
"fascinaria este quejas, es fantastico",1
"indigna este peticiones, es horrible",0
" satisface este peticiones, es gracias",1
"odio este reclamos, es incompleto",0
"disgusta este preguntas, es poco",0
"fascinaria este preguntas, es contento",1
"horrible este quejas, es descontento",0
"encantaria este reclamos, es rapido",1
"agrada este quejas, es genial",1
"gustaria este peticiones, es maravilla",1
"agradaria este quejas, es fantastico",1
" sirve este quejas, es contento",1
"fascinaria este peticiones, es excelente",1
"horrible este quejas, es frustante",0
"horrible este peticiones, es lamentable",0
"indigna este quejas, es malo",0
"terrible este preguntas, es grosero",0
" fascina este preguntas, es agradable",1
" encanta este preguntas, es fantastico",1
"odio este preguntas, es frustante",0
"gusta este quejas, es agradable",1
"horroroso este preguntas, es decepcion",0
" complace este preguntas, es rapido",1
"gusta este reclamos, es fantastico",1
"terrible este quejas, es insatisfecho",0
"malo este reclamos, es dificultades",0
"agradaria este peticiones, es rapido",1
" complace este reclamos, es agradable",1
" fascina este quejas, es excelente",1
" sirve este preguntas, es asombroso",1
"malo este preguntas, es problemas",0
"disgustaria este reclamos, es frustante",0
"terrible este peticiones, es descontento",0
"horroroso este reclamos, es insatisfecho",0
"malo este quejas, es descontento",0
"gustaria este reclamos, es maravilla",1
"disgustaria este peticiones, es decepcion",0
"molesto este preguntas, es fallos",0
"disgustaria este quejas, es decepcion",0
"terrible este quejas, es lamentable",0
"agradaria este preguntas, es estupendo",1
"disgustaria este quejas, es desagrada",0
"horroroso este quejas, es ineficiente",0
" encanta este reclamos, es contento",1
"gusta este peticiones, es satisfecho",1
"horroroso este reclamos, es dificultades",0
"disgusta este preguntas, es poco",0
"disgustaria este preguntas, es horrible",0
"disgustaria este preguntas, es poco",0
" encanta este quejas, es excelente",1
" satisface este reclamos, es asombroso",1
"horroroso este preguntas, es decepcion",0
"desastroso este reclamos, es despreciable",0
"encantaria este peticiones, es rapido",1
" fascina este preguntas, es increible",1
" encanta este reclamos, es bueno",1
" satisface este preguntas, es satisfecho",1
" encanta este quejas, es fantastico",1
" encanta este quejas, es maravilla",1
"encantaria este peticiones, es maravilloso",1
"horroroso este peticiones, es grosero",0
" cautiva este reclamos, es maravilla",1
"disgustaria este preguntas, es desagrada",0
"disgusta este preguntas, es decepcion",0
"desastroso este preguntas, es insatisfecho",0
" satisface este quejas, es excelente",1
"agradaria este peticiones, es increible",1
" complace este peticiones, es bueno",1
" satisface este peticiones, es increible",1
"disgusta este peticiones, es terrible",0
"desastroso este quejas, es ignorado",0
"disgustaria este preguntas, es poco",0
"horroroso este quejas, es desagrada",0
"gusta este reclamos, es eficiente",1
" cautiva este peticiones, es bueno",1
"disgusta este peticiones, es horrible",0
" complace este quejas, es estupendo",1
"fascinaria este preguntas, es favor",1
" fascina este preguntas, es satisfecho",1
"gustaria este preguntas, es maravilloso",1
"molesto este reclamos, es decepcion",0
" complace este peticiones, es rapido",1
"fascinaria este quejas, es rapido",1
"fascinaria este reclamos, es asombroso",1
"horrible este preguntas, es ignorado",0
"horrible este preguntas, es frustante",0
"horrible este peticiones, es insatisfecho",0
" satisface este reclamos, es maravilloso",1
" fascina este preguntas, es eficiente",1
"indigna este peticiones, es horrible",0
"molesto este quejas, es incompleto",0
"gusta este quejas, es maravilla",1
"odio este quejas, es poco",0
"malo este quejas, es despreciable",0
" complace este preguntas, es gracias",1
"disgustaria este quejas, es horrible",0
"fascinaria este peticiones, es maravilla",1
" cautiva este quejas, es agradable",1
"odio este peticiones, es poco",0
"gusta este peticiones, es rapido",1
"horrible este reclamos, es problemas",0
"gustaria este preguntas, es increible",1
"encantaria este reclamos, es maravilla",1
"horrible este preguntas, es fallos",0
"odio este peticiones, es incompleto",0
"horroroso este quejas, es ineficiente",0
"malo este quejas, es frustante",0
"molesto este peticiones, es decepcion",0
"agrada este preguntas, es gracias",1
" encanta este preguntas, es excelente",1
" complace este reclamos, es agradable",1
" encanta este reclamos, es excelente",1
"odio este quejas, es descontento",0
"indigna este reclamos, es desagrada",0
"encantaria este reclamos, es contento",1
"encantaria este peticiones, es maravilla",1
"agradaria este quejas, es asombroso",1
"molesto este preguntas, es desagrada",0
"malo este reclamos, es desagrada",0
"horroroso este reclamos, es frustante",0
"odio este peticiones, es decepcion",0
"indigna este preguntas, es descontento",0
"agradaria este preguntas, es eficiente",1
"terrible este preguntas, es poco",0
"encantaria este reclamos, es eficiente",1
"horrible este reclamos, es problemas",0
" encanta este reclamos, es maravilloso",1
"molesto este reclamos, es grosero",0
"terrible este reclamos, es desagrada",0
"horroroso este quejas, es descontento",0
" sirve este preguntas, es eficiente",1
"agrada este peticiones, es rapido",1
"disgustaria este preguntas, es ineficiente",0
"indigna este peticiones, es despreciable",0
"gustaria este reclamos, es contento",1
"disgustaria este reclamos, es descontento",0
" encanta este peticiones, es maravilla",1
" sirve este reclamos, es fantastico",1
"encantaria este quejas, es satisfecho",1
"disgusta este reclamos, es ignorado",0
"horrible este quejas, es incompleto",0
"desastroso este preguntas, es decepcion",0
"horroroso este quejas, es desagrada",0
"gusta este quejas, es excelente",1
"fascinaria este preguntas, es genial",1
" satisface este preguntas, es maravilloso",1
"odio este quejas, es poco",0
" fascina este preguntas, es contento",1
" satisface este quejas, es fantastico",1
"desastroso este quejas, es malo",0
"disgusta este peticiones, es fallos",0
"molesto este peticiones, es ignorado",0
"agradaria este peticiones, es asombroso",1
" satisface este peticiones, es fantastico",1
"horroroso este preguntas, es grosero",0
"horroroso este peticiones, es problemas",0
" complace este reclamos, es gracias",1
" satisface este quejas, es asombroso",1
"agrada este reclamos, es fantastico",1
"disgusta este quejas, es ineficiente",0
" sirve este reclamos, es eficiente",1
"agradaria este quejas, es genial",1
"disgustaria este reclamos, es terrible",0
"molesto este preguntas, es lamentable",0
" complace este peticiones, es favor",1
"disgustaria este quejas, es problemas",0
"agradaria este peticiones, es estupendo",1
"gustaria este quejas, es contento",1
" cautiva este reclamos, es satisfecho",1
"malo este peticiones, es insatisfecho",0
"fascinaria este quejas, es gracias",1
"malo este reclamos, es frustante",0
"horrible este quejas, es ignorado",0
" encanta este quejas, es estupendo",1
"odio este peticiones, es insatisfecho",0
"malo este peticiones, es poco",0
" encanta este preguntas, es rapido",1
"terrible este quejas, es decepcion",0
"gusta este quejas, es gracias",1
"agradaria este quejas, es maravilloso",1
" sirve este quejas, es maravilloso",1
"disgustaria este preguntas, es terrible",0
"desastroso este quejas, es frustante",0
"horroroso este reclamos, es malo",0
"disgusta este peticiones, es lamentable",0
"odio este peticiones, es terrible",0
"disgusta este preguntas, es fallos",0
"disgustaria este peticiones, es descontento",0
"horrible este peticiones, es descontento",0
"gusta este peticiones, es genial",1
" satisface este reclamos, es increible",1
"fascinaria este reclamos, es contento",1
"indigna este quejas, es poco",0
"terrible este reclamos, es problemas",0
"encantaria este preguntas, es estupendo",1
" fascina este reclamos, es genial",1
" sirve este quejas, es rapido",1
" cautiva este peticiones, es genial",1
"agradaria este peticiones, es satisfecho",1
"agrada este quejas, es contento",1
" encanta este reclamos, es maravilla",1
"agrada este peticiones, es gracias",1
"fascinaria este peticiones, es maravilla",1
" sirve este peticiones, es gracias",1
"gusta este reclamos, es contento",1
"gustaria este peticiones, es genial",1
"indigna este reclamos, es horrible",0
"agrada este reclamos, es gracias",1
"disgusta este peticiones, es terrible",0
"indigna este peticiones, es poco",0
"desastroso este quejas, es terrible",0
"indigna este quejas, es incompleto",0
" fascina este preguntas, es favor",1
" fascina este quejas, es estupendo",1
" complace este preguntas, es estupendo",1
"molesto este peticiones, es descontento",0
"gusta este preguntas, es fantastico",1
"disgustaria este reclamos, es terrible",0
"encantaria este quejas, es increible",1
"agrada este peticiones, es bueno",1
"gusta este peticiones, es eficiente",1
"agradaria este peticiones, es agradable",1
" complace este preguntas, es rapido",1
"horroroso este preguntas, es frustante",0
"disgusta este quejas, es decepcion",0
" fascina este quejas, es contento",1
" satisface este quejas, es contento",1
"gustaria este quejas, es favor",1
"indigna este peticiones, es ignorado",0
"agradaria este peticiones, es bueno",1
"gustaria este reclamos, es asombroso",1
"molesto este quejas, es despreciable",0
"terrible este quejas, es ignorado",0
"molesto este reclamos, es incompleto",0
"terrible este reclamos, es insatisfecho",0
"desastroso este reclamos, es incompleto",0
"malo este quejas, es incompleto",0
" cautiva este reclamos, es maravilla",1
"fascinaria este peticiones, es excelente",1
"encantaria este peticiones, es satisfecho",1
"agrada este preguntas, es excelente",1
"disgustaria este quejas, es despreciable",0
" sirve este preguntas, es genial",1
"fascinaria este peticiones, es rapido",1
"horroroso este reclamos, es ignorado",0
"horroroso este reclamos, es horrible",0
"gustaria este peticiones, es contento",1
"indigna este peticiones, es frustante",0
"terrible este preguntas, es terrible",0
"molesto este quejas, es descontento",0
"malo este preguntas, es despreciable",0
" complace este reclamos, es maravilla",1
"fascinaria este peticiones, es excelente",1
"terrible este peticiones, es terrible",0
"molesto este quejas, es decepcion",0
"odio este quejas, es incompleto",0
"horroroso este reclamos, es horrible",0
"odio este preguntas, es ignorado",0
" satisface este peticiones, es rapido",1
" fascina este preguntas, es bueno",1
"molesto este preguntas, es dificultades",0
"encantaria este quejas, es satisfecho",1
"encantaria este reclamos, es rapido",1
"odio este peticiones, es terrible",0
"horrible este quejas, es insatisfecho",0
"disgustaria este quejas, es frustante",0
"disgusta este reclamos, es grosero",0
"fascinaria este reclamos, es asombroso",1
"indigna este preguntas, es ineficiente",0
"indigna este preguntas, es problemas",0
"horrible este quejas, es dificultades",0
"terrible este preguntas, es poco",0
"disgusta este reclamos, es fallos",0
"terrible este reclamos, es problemas",0
"molesto este quejas, es problemas",0
"fascinaria este peticiones, es gracias",1
"indigna este reclamos, es poco",0
"molesto este preguntas, es terrible",0
"molesto este reclamos, es fallos",0
" fascina este reclamos, es eficiente",1
" cautiva este quejas, es agradable",1
" satisface este preguntas, es excelente",1
"desastroso este peticiones, es terrible",0
"horrible este preguntas, es lamentable",0
"desastroso este quejas, es ineficiente",0
"molesto este reclamos, es problemas",0
"indigna este peticiones, es malo",0
" complace este reclamos, es genial",1
"horrible este reclamos, es incompleto",0
"fascinaria este reclamos, es asombroso",1
" fascina este peticiones, es bueno",1
" encanta este peticiones, es eficiente",1
"disgusta este preguntas, es descontento",0
" sirve este peticiones, es fantastico",1
" cautiva este peticiones, es bueno",1
"gustaria este quejas, es excelente",1
"malo este peticiones, es horrible",0
"terrible este quejas, es problemas",0
"fascinaria este reclamos, es gracias",1
"desastroso este quejas, es problemas",0
"odio este preguntas, es insatisfecho",0
"terrible este peticiones, es incompleto",0
"odio este preguntas, es ineficiente",0
" cautiva este quejas, es bueno",1
" complace este preguntas, es maravilloso",1
"agrada este quejas, es asombroso",1
"odio este reclamos, es malo",0
"disgusta este peticiones, es ignorado",0
"encantaria este preguntas, es asombroso",1
"agrada este quejas, es genial",1
"terrible este quejas, es frustante",0
"gusta este quejas, es maravilla",1
" fascina este preguntas, es asombroso",1
" fascina este quejas, es fantastico",1
"fascinaria este preguntas, es bueno",1
"gusta este preguntas, es fantastico",1
" encanta este quejas, es favor",1
" sirve este preguntas, es contento",1
"horroroso este reclamos, es despreciable",0
"malo este peticiones, es lamentable",0
" sirve este peticiones, es increible",1
"indigna este reclamos, es despreciable",0
"horrible este reclamos, es horrible",0
"disgusta este reclamos, es desagrada",0
"indigna este quejas, es horrible",0
"terrible este quejas, es dificultades",0
"molesto este quejas, es horrible",0
"odio este peticiones, es frustante",0
"encantaria este preguntas, es rapido",1
"disgustaria este peticiones, es decepcion",0
" complace este preguntas, es favor",1
"gusta este peticiones, es maravilloso",1
"terrible este quejas, es despreciable",0
"molesto este reclamos, es incompleto",0
"indigna este peticiones, es problemas",0
"indigna este preguntas, es problemas",0
"indigna este quejas, es problemas",0
"indigna este reclamos, es descontento",0
"disgusta este reclamos, es frustante",0
"indigna este preguntas, es fallos",0
"terrible este preguntas, es dificultades",0
"indigna este quejas, es frustante",0
"agrada este peticiones, es excelente",1
"molesto este preguntas, es grosero",0
"disgustaria este reclamos, es problemas",0
"terrible este reclamos, es despreciable",0
" sirve este preguntas, es maravilloso",1
"disgustaria este reclamos, es terrible",0
"agrada este reclamos, es satisfecho",1
"gusta este preguntas, es estupendo",1
"disgusta este quejas, es terrible",0
"desastroso este peticiones, es terrible",0
"molesto este reclamos, es insatisfecho",0
"agrada este quejas, es contento",1
"horroroso este reclamos, es lamentable",0
"terrible este quejas, es terrible",0
"disgusta este quejas, es dificultades",0
"horrible este reclamos, es despreciable",0
"agrada este peticiones, es rapido",1
"desastroso este reclamos, es fallos",0
"horrible este peticiones, es grosero",0
" encanta este reclamos, es maravilla",1
" cautiva este reclamos, es bueno",1
"gusta este quejas, es maravilloso",1
" encanta este reclamos, es contento",1
"encantaria este peticiones, es asombroso",1
"disgusta este reclamos, es ineficiente",0
"malo este reclamos, es poco",0
"agradaria este reclamos, es asombroso",1
"disgusta este peticiones, es terrible",0
" cautiva este peticiones, es maravilloso",1
"indigna este reclamos, es terrible",0
" cautiva este quejas, es eficiente",1
"molesto este peticiones, es desagrada",0
"disgusta este preguntas, es fallos",0
"disgusta este preguntas, es frustante",0
"malo este reclamos, es malo",0
" cautiva este preguntas, es satisfecho",1
" satisface este quejas, es contento",1
"molesto este preguntas, es horrible",0
"horrible este quejas, es fallos",0
"disgusta este quejas, es poco",0
" fascina este reclamos, es asombroso",1
"disgusta este quejas, es terrible",0
"indigna este preguntas, es lamentable",0
" encanta este quejas, es fantastico",1
"gusta este quejas, es rapido",1
" satisface este peticiones, es maravilla",1
" complace este reclamos, es asombroso",1
"disgustaria este reclamos, es ineficiente",0
"agrada este quejas, es rapido",1
" encanta este preguntas, es excelente",1
" encanta este reclamos, es agradable",1
"encantaria este quejas, es eficiente",1
"molesto este reclamos, es malo",0
"odio este reclamos, es frustante",0
"agrada este reclamos, es asombroso",1
"agrada este peticiones, es rapido",1
"agradaria este preguntas, es contento",1
"odio este preguntas, es lamentable",0
"disgusta este preguntas, es ignorado",0
"fascinaria este peticiones, es contento",1
"gustaria este reclamos, es maravilloso",1
"odio este preguntas, es desagrada",0
" complace este quejas, es estupendo",1
"horrible este preguntas, es problemas",0
"malo este quejas, es malo",0
"agradaria este reclamos, es asombroso",1
"terrible este quejas, es grosero",0
" satisface este reclamos, es maravilloso",1
"indigna este quejas, es decepcion",0
"agradaria este quejas, es maravilloso",1
"indigna este peticiones, es problemas",0
" fascina este reclamos, es rapido",1
" encanta este quejas, es estupendo",1
" satisface este reclamos, es contento",1
"terrible este peticiones, es despreciable",0
"malo este peticiones, es frustante",0
"encantaria este preguntas, es rapido",1
"gusta este quejas, es asombroso",1
"odio este quejas, es decepcion",0
" cautiva este peticiones, es favor",1
" complace este reclamos, es maravilloso",1
"disgusta este quejas, es lamentable",0
"gusta este preguntas, es satisfecho",1
"encantaria este quejas, es increible",1
"disgustaria este peticiones, es frustante",0
" sirve este reclamos, es asombroso",1
"molesto este peticiones, es ignorado",0
" satisface este peticiones, es agradable",1
"molesto este preguntas, es incompleto",0
"terrible este preguntas, es lamentable",0
" encanta este peticiones, es contento",1
"encantaria este quejas, es maravilloso",1
"gustaria este peticiones, es favor",1
"terrible este preguntas, es poco",0
"odio este reclamos, es terrible",0
" complace este peticiones, es maravilloso",1
"fascinaria este reclamos, es maravilloso",1
"horrible este preguntas, es terrible",0
"molesto este preguntas, es frustante",0
"agrada este preguntas, es increible",1
" fascina este preguntas, es excelente",1
"terrible este peticiones, es ineficiente",0
"desastroso este reclamos, es dificultades",0
"odio este reclamos, es terrible",0
"malo este reclamos, es descontento",0
"disgusta este peticiones, es frustante",0
"gusta este peticiones, es gracias",1
"malo este peticiones, es ignorado",0
"indigna este reclamos, es poco",0
" complace este quejas, es gracias",1
"disgustaria este preguntas, es problemas",0
" sirve este quejas, es gracias",1
"molesto este preguntas, es terrible",0
"terrible este reclamos, es desagrada",0
"horroroso este quejas, es incompleto",0
" complace este quejas, es satisfecho",1
"desastroso este peticiones, es frustante",0
"molesto este peticiones, es frustante",0
"agradaria este quejas, es agradable",1
"agrada este reclamos, es eficiente",1
"horroroso este quejas, es frustante",0
"desastroso este quejas, es descontento",0
" cautiva este preguntas, es agradable",1
" encanta este preguntas, es fantastico",1
"fascinaria este peticiones, es increible",1
"horrible este preguntas, es dificultades",0
"horrible este quejas, es horrible",0
"fascinaria este peticiones, es eficiente",1
"indigna este preguntas, es grosero",0
"agrada este quejas, es maravilloso",1
"fascinaria este reclamos, es gracias",1
"disgustaria este reclamos, es despreciable",0
"malo este preguntas, es incompleto",0
"gusta este reclamos, es maravilloso",1
" fascina este peticiones, es rapido",1
" satisface este peticiones, es eficiente",1
"agradaria este reclamos, es excelente",1
"desastroso este quejas, es frustante",0
"gusta este preguntas, es contento",1
"molesto este preguntas, es despreciable",0
"horrible este peticiones, es lamentable",0
"agrada este quejas, es favor",1
" fascina este preguntas, es rapido",1
"indigna este quejas, es horrible",0
" satisface este reclamos, es agradable",1
" sirve este reclamos, es estupendo",1
"gustaria este peticiones, es contento",1
"horrible este preguntas, es dificultades",0
"disgusta este preguntas, es descontento",0
" sirve este quejas, es excelente",1
" encanta este reclamos, es satisfecho",1
"gustaria este reclamos, es agradable",1
"horroroso este quejas, es ignorado",0
"malo este peticiones, es incompleto",0
"disgustaria este reclamos, es grosero",0
"agradaria este peticiones, es asombroso",1
"agradaria este reclamos, es contento",1
" sirve este peticiones, es increible",1
" encanta este quejas, es agradable",1
"gustaria este quejas, es contento",1
" complace este quejas, es gracias",1
"disgustaria este quejas, es ineficiente",0
"encantaria este quejas, es maravilla",1
"agradaria este preguntas, es estupendo",1
" sirve este peticiones, es satisfecho",1
"agradaria este preguntas, es estupendo",1
"agradaria este preguntas, es rapido",1
" complace este quejas, es increible",1
"agrada este preguntas, es maravilloso",1
"horrible este peticiones, es ignorado",0
"desastroso este quejas, es desagrada",0
"odio este peticiones, es ineficiente",0
"odio este quejas, es ignorado",0
"horroroso este reclamos, es grosero",0
"fascinaria este reclamos, es maravilloso",1
" cautiva este preguntas, es maravilloso",1
"agrada este preguntas, es maravilloso",1
"disgusta este quejas, es despreciable",0
"agradaria este preguntas, es maravilloso",1
" satisface este peticiones, es bueno",1
" sirve este quejas, es rapido",1
" complace este peticiones, es asombroso",1
"horroroso este preguntas, es horrible",0
" cautiva este reclamos, es genial",1
"malo este reclamos, es lamentable",0
"horrible este quejas, es insatisfecho",0
"desastroso este preguntas, es ignorado",0
"disgusta este preguntas, es malo",0
"molesto este quejas, es horrible",0
"malo este preguntas, es ignorado",0
"disgusta este quejas, es despreciable",0
" sirve este preguntas, es asombroso",1
" encanta este quejas, es bueno",1
"horrible este preguntas, es ignorado",0
"disgustaria este peticiones, es malo",0
"malo este quejas, es lamentable",0
" sirve este quejas, es contento",1
"horroroso este preguntas, es descontento",0
" encanta este reclamos, es satisfecho",1
" satisface este reclamos, es genial",1
"fascinaria este peticiones, es eficiente",1
" encanta este quejas, es eficiente",1
"agradaria este quejas, es eficiente",1
"indigna este reclamos, es grosero",0
"disgustaria este reclamos, es insatisfecho",0
"horroroso este preguntas, es insatisfecho",0
"gustaria este peticiones, es estupendo",1
" encanta este quejas, es eficiente",1
" encanta este reclamos, es contento",1
" satisface este reclamos, es maravilla",1
" satisface este peticiones, es contento",1
"agradaria este preguntas, es asombroso",1
"malo este reclamos, es desagrada",0
" complace este preguntas, es favor",1
" encanta este preguntas, es contento",1
"indigna este peticiones, es insatisfecho",0
"encantaria este preguntas, es gracias",1
" cautiva este preguntas, es bueno",1
"terrible este preguntas, es grosero",0
"disgusta este peticiones, es grosero",0
"odio este preguntas, es desagrada",0
"malo este peticiones, es poco",0
"encantaria este reclamos, es contento",1
" fascina este quejas, es favor",1
"horrible este quejas, es frustante",0
" encanta este preguntas, es excelente",1
" satisface este quejas, es contento",1
"disgustaria este peticiones, es desagrada",0
"horroroso este quejas, es poco",0
" sirve este peticiones, es estupendo",1
"gustaria este peticiones, es estupendo",1
" satisface este quejas, es asombroso",1
"horrible este quejas, es despreciable",0
" cautiva este reclamos, es rapido",1
" satisface este quejas, es bueno",1
"agradaria este preguntas, es estupendo",1
" cautiva este preguntas, es rapido",1
"terrible este reclamos, es decepcion",0
"desastroso este peticiones, es poco",0
"malo este reclamos, es insatisfecho",0
"desastroso este peticiones, es horrible",0
" encanta este quejas, es maravilla",1
"indigna este peticiones, es fallos",0
"desastroso este preguntas, es despreciable",0
"disgustaria este preguntas, es ignorado",0
"disgustaria este preguntas, es malo",0
" cautiva este peticiones, es satisfecho",1
"molesto este quejas, es incompleto",0
"disgustaria este reclamos, es horrible",0
" encanta este quejas, es gracias",1
"horrible este preguntas, es despreciable",0
"odio este reclamos, es decepcion",0
"fascinaria este quejas, es bueno",1
"terrible este quejas, es grosero",0
"molesto este reclamos, es despreciable",0
" cautiva este preguntas, es rapido",1
"horroroso este preguntas, es fallos",0
"odio este quejas, es ineficiente",0
"encantaria este preguntas, es increible",1
" satisface este preguntas, es agradable",1
"fascinaria este preguntas, es eficiente",1
"molesto este reclamos, es ineficiente",0
" sirve este preguntas, es rapido",1
"gusta este reclamos, es estupendo",1
"fascinaria este reclamos, es satisfecho",1
"terrible este preguntas, es grosero",0
"disgusta este quejas, es descontento",0
"horroroso este reclamos, es incompleto",0
"gusta este reclamos, es bueno",1
"desastroso este reclamos, es grosero",0
"horrible este peticiones, es frustante",0
"gustaria este peticiones, es contento",1
"odio este preguntas, es insatisfecho",0
"indigna este peticiones, es horrible",0
"disgustaria este preguntas, es frustante",0
"horroroso este reclamos, es ignorado",0
"disgusta este peticiones, es terrible",0
"gustaria este reclamos, es estupendo",1
" sirve este peticiones, es maravilla",1
"molesto este peticiones, es problemas",0
"encantaria este preguntas, es rapido",1
"molesto este quejas, es problemas",0
"disgusta este peticiones, es fallos",0
" encanta este peticiones, es fantastico",1
" cautiva este peticiones, es satisfecho",1
"desastroso este quejas, es lamentable",0
"indigna este peticiones, es lamentable",0
"molesto este reclamos, es problemas",0
"desastroso este reclamos, es problemas",0
"disgustaria este reclamos, es grosero",0
" complace este quejas, es bueno",1
"desastroso este reclamos, es desagrada",0
" satisface este peticiones, es fantastico",1
"desastroso este preguntas, es dificultades",0
" cautiva este preguntas, es bueno",1
"gusta este reclamos, es rapido",1
" cautiva este peticiones, es agradable",1
"disgustaria este preguntas, es insatisfecho",0
" encanta este preguntas, es maravilla",1
"terrible este preguntas, es frustante",0
"gustaria este quejas, es genial",1
"horrible este preguntas, es decepcion",0
" encanta este peticiones, es increible",1
"molesto este reclamos, es frustante",0
"malo este preguntas, es insatisfecho",0
" complace este quejas, es bueno",1
"gustaria este preguntas, es contento",1
"disgustaria este peticiones, es frustante",0
" complace este peticiones, es agradable",1
"indigna este peticiones, es desagrada",0
"terrible este reclamos, es terrible",0
"desastroso este preguntas, es frustante",0
" sirve este reclamos, es maravilla",1
"gusta este quejas, es rapido",1
"horrible este preguntas, es dificultades",0
" encanta este quejas, es maravilla",1
"terrible este peticiones, es problemas",0
"molesto este peticiones, es horrible",0
" cautiva este preguntas, es rapido",1
"agrada este peticiones, es excelente",1
"gustaria este peticiones, es eficiente",1
"terrible este reclamos, es decepcion",0
" fascina este peticiones, es maravilla",1
"agradaria este preguntas, es bueno",1
" sirve este peticiones, es satisfecho",1
"malo este preguntas, es decepcion",0
"molesto este preguntas, es ineficiente",0
"molesto este preguntas, es lamentable",0
"indigna este preguntas, es horrible",0
"horrible este reclamos, es grosero",0
" fascina este reclamos, es gracias",1
"desastroso este preguntas, es incompleto",0
" fascina este reclamos, es satisfecho",1
"gustaria este preguntas, es agradable",1
"disgusta este peticiones, es decepcion",0
"disgustaria este reclamos, es decepcion",0
" fascina este quejas, es fantastico",1
"disgusta este peticiones, es ineficiente",0
"malo este preguntas, es desagrada",0
"gusta este peticiones, es bueno",1
"molesto este reclamos, es desagrada",0
"horroroso este preguntas, es descontento",0
" complace este reclamos, es rapido",1
"malo este peticiones, es dificultades",0
"indigna este preguntas, es grosero",0
"horrible este preguntas, es grosero",0
"disgusta este quejas, es ineficiente",0
"malo este preguntas, es ineficiente",0
"agrada este quejas, es contento",1
" cautiva este peticiones, es bueno",1
"gusta este reclamos, es excelente",1
" encanta este peticiones, es bueno",1
" encanta este quejas, es favor",1
"desastroso este reclamos, es malo",0
" fascina este peticiones, es eficiente",1
"disgustaria este reclamos, es desagrada",0
" encanta este quejas, es bueno",1
" satisface este preguntas, es maravilla",1
"horroroso este preguntas, es dificultades",0
" fascina este peticiones, es estupendo",1
" sirve este reclamos, es increible",1
" cautiva este peticiones, es estupendo",1
"indigna este reclamos, es dificultades",0
"disgusta este quejas, es fallos",0
"molesto este reclamos, es ignorado",0
"molesto este reclamos, es horrible",0
"odio este quejas, es problemas",0
"agrada este peticiones, es maravilla",1
"fascinaria este peticiones, es asombroso",1
" encanta este peticiones, es satisfecho",1
"malo este reclamos, es despreciable",0
"terrible este peticiones, es decepcion",0
"horrible este preguntas, es lamentable",0
"encantaria este preguntas, es favor",1
